metaphor,mean_similarity_unweighted,mean_similarity_weighted,mean_baseline_unweighted,mean_baseline_weighted,mean_test_stat_unweighted,mean_test_stat_weighted,mean_p_value_unweighted,mean_p_value_weighted,amount_pos_sign_unweighted,amount_pos_sign_weighted,amount_pos_insign_unweighted,amount_pos_insign_weighted,amount_neg_sign_unweighted,amount_neg_sign_weighted,amount_neg_insign_unweighted,amount_neg_insign_weighted
4 failure is death,0.2608444810633413,0.25819544906906255,0.25122570753455875,0.25223025094263335,1.1608556192013815,0.9962245750007827,0.09138633489733072,0.07526059626725778,26,25,8,4,25,26,5,9
6 perceiving is eating,0.20416516218936953,0.20856807695240012,0.25116769507460984,0.25426454995531356,-8.572499981068674,-9.197005018890266,0.06341772524691015,0.053782357231802316,16,16,4,3,41,42,3,3
8 money is liquid,0.18763016248118428,0.18139730383700753,0.24606252174887655,0.2482531909891943,-9.259985181990494,-12.19629499874446,0.01605133551704473,0.016149622168889887,12,11,2,3,47,49,3,1
7 affection is warmth,0.20568855855926205,0.21912637674566837,0.2483725991787124,0.2561677351004742,-6.142606975599815,-6.205917941521037,0.08069797678298565,0.09058850212409578,12,12,4,6,44,40,4,6
3 life is journey,0.23243857144913305,0.2351208052968773,0.2607686011560598,0.2621409159139181,-3.571058735609652,-3.7488064121776796,0.09566106203180971,0.04694232956717755,15,14,0,3,36,42,13,5
5 success is life,0.2336296294559027,0.2358609077416455,0.25174895903221123,0.25672529996746696,-1.9053598830576015,-2.594558001074504,0.049046665592291525,0.06770985918332073,20,15,5,7,36,38,3,4
1 importance is size,0.23809002345033403,0.23718074870937045,0.24559975287918875,0.2494671819383002,-1.7064580043700772,-2.378443057410974,0.07963970913775333,0.06452572908996614,14,17,8,5,34,39,8,3
10 bad is down,0.20739921223345317,0.21778902666967953,0.24510581116094496,0.2550442797240414,-5.749161613923923,-6.692955337349813,0.03374687178753913,0.03768886402922054,14,14,3,3,44,44,3,3
2 active is life,0.263810319684437,0.25682372724342695,0.2868559851343463,0.2838608334674243,-1.976129477800418,-2.9285301543657356,0.0630408978193969,0.02812234942402607,17,17,5,5,35,39,7,3
9 good is up,0.21030579397635424,0.21282735450420318,0.25642706583936276,0.25772910461657705,-6.503141420103548,-7.183149541805519,0.0691901420971471,0.04950011400342276,11,12,3,5,43,43,7,4
