metaphor,mean_similarity_all,mean_similarity_NOUN,mean_similarity_VERB,mean_similarity_ADJ,mean_baseline_all,mean_baseline_NOUN,mean_baseline_VERB,mean_baseline_ADJ,mean_test_stat_all,mean_test_stat_NOUN,mean_test_stat_VERB,mean_test_stat_ADJ,mean_p_value_all,mean_p_value_NOUN,mean_p_value_VERB,mean_p_value_ADJ,amount_pos_sign_all,amount_pos_sign_NOUN,amount_pos_sign_VERB,amount_pos_sign_ADJ,amount_pos_insign_all,amount_pos_insign_NOUN,amount_pos_insign_VERB,amount_pos_insign_ADJ,amount_neg_sign_all,amount_neg_sign_NOUN,amount_neg_sign_VERB,amount_neg_sign_ADJ,amount_neg_insign_all,amount_neg_insign_NOUN,amount_neg_insign_VERB,amount_neg_insign_ADJ
4 failure is death,0.28335510016762566,0.25130396445906356,0.2662683279733925,0.23715246766472606,0.280600120403472,0.24197453862632676,0.2409208829557666,0.24341637496881885,0.8467742190644705,1.1580335688532735,2.829306552483717,-0.519953951997133,0.0003123234923780035,0.07867782724842559,0.16068838722058687,0.09361532436778659,16,12,14,9,0,5,5,2,16,13,10,12,0,2,3,9
6 perceiving is eating,0.2302440382722028,0.19048577865594082,0.19647147535863452,0.2082651859967612,0.2855860372982403,0.24762140653590992,0.24836367824850286,0.22929336797719382,-18.54060618445851,-6.938095734823898,-6.199168531358794,-3.8611395492766714,6.286429826186872e-06,0.12608755519525053,0.08907780159693675,0.019228521735411477,8,6,4,14,0,3,2,2,24,20,23,16,0,3,3,0
8 money is liquid,0.21789807327820387,0.15428867738913196,0.18183069683976844,0.18403748512927937,0.27709974860237135,0.2381595254542651,0.22350145573151592,0.2498706956879894,-18.340980321264276,-13.026860833069597,-6.30047547337651,-5.2442437337595225,5.528047560794723e-12,0.00014393834938624666,0.04808245715347737,0.016175519863477563,8,4,7,4,0,0,1,4,24,28,21,23,0,0,3,1
7 affection is warmth,0.2331020870643086,0.21829207415084523,0.1827080256957177,0.2155276836989893,0.2870729247180712,0.2481997700100098,0.24403440093442963,0.2297735728958625,-13.771625136330977,-2.5883592267884077,-7.315511494499626,-1.0215539766226942,6.128566711062772e-09,0.18192390409936626,0.030035316121146117,0.13061373146508382,8,4,4,8,0,4,0,6,24,21,23,16,0,3,5,2
3 life is journey,0.25219557232023637,0.206640255466766,0.23180596289370942,0.24447696281130885,0.29247389659621387,0.24384339037426495,0.2399634713349551,0.26953827583452183,-9.370356269953831,-3.732863637908372,-0.4019894960501662,-1.1345208916622933,5.069479084616711e-07,0.11138445736588332,0.044649635484393393,0.12917218339978934,8,7,8,6,0,1,0,2,24,20,18,16,0,4,6,8
5 success is life,0.2619971384066081,0.2033350795692918,0.24557239522483537,0.22807646119436115,0.2856730262130649,0.23206979807353756,0.2230724288637631,0.2761332648489908,-4.742255761571634,-2.944363945391422,2.129608491116434,-3.4428245524175876,0.005252361104040655,0.042650028084406655,0.11561874101678896,0.06999191934598824,11,8,11,5,1,1,5,5,20,22,12,20,0,1,4,2
1 importance is size,0.2564865483338943,0.22101588733334268,0.2530499900194241,0.21998911863274798,0.2765647781659944,0.22966481053212134,0.24126431982855107,0.242639961108311,-5.555146998395758,-0.5140913504228524,1.291061674805975,-3.391625449549469,4.358689387529834e-06,0.10127740326035051,0.15141768650118115,0.035631428004519766,8,6,8,9,0,6,5,2,24,17,14,18,0,3,5,3
10 bad is down,0.23759577137123372,0.185021938984553,0.25012535434349303,0.1776334131069856,0.2808807332010833,0.2256356853153231,0.24831372262494328,0.2454700406286231,-12.647978401361971,-4.335303445033794,-0.31642355784924847,-7.5845284983024595,1.700511045688488e-12,0.10388856640455521,0.0389063595392161,7.654568804751556e-05,8,6,10,4,0,0,6,0,24,20,16,28,0,6,0,0
2 active is life,0.29995051630651404,0.23467526065422242,0.23720621954119,0.2694360973538015,0.315443894947395,0.2552394633828067,0.3200236664627556,0.25072661241058397,-2.9483553185424674,-2.05769318533658,-6.412645985732951,1.6093752252796893,0.034957453691229,0.052206732514347036,0.006058559791134398,0.08910374849013553,8,8,4,14,0,0,0,10,21,19,26,8,3,5,2,0
9 good is up,0.2279183675627816,0.19362339950063712,0.21784511172391346,0.20687941817378264,0.2803548374686923,0.26258135991636955,0.23126663570825012,0.2541095078185677,-14.512427632221014,-6.740156578044833,-2.1445130139624813,-3.975484699589804,3.2766993932676566e-06,0.056147195708109165,0.12050591625587584,0.06072412353776147,8,0,8,7,0,4,2,2,24,26,16,20,0,2,6,3
