metaphor,mean_similarity,mean_baseline_mixed,mean_baseline_saved,mean_test_stat_mixed,mean_test_stat_saved,mean_p_value_mixed,mean_p_value_saved,amount_pos_sign_mixed,amount_pos_sign_saved,amount_pos_insign_mixed,amount_pos_insign_saved,amount_neg_sign_mixed,amount_neg_sign_saved,amount_neg_insign_mixed,amount_neg_insign_saved
4 failure is death,0.2595199650662019,0.2377456573523915,0.2657103011248006,2.1652329647397455,-0.008152770537581525,0.1117137799965077,0.05493315116808083,29,22,10,2,16,35,9,5
3 life is journey,0.2337796883730052,0.24693727113518507,0.27597224593479286,-2.5247769336693633,-4.795088214117969,0.10553513394515099,0.037068257653836284,16,13,3,0,31,47,14,4
7 affection is warmth,0.2124074676524652,0.2370998025883685,0.26744053169081805,-4.804598309946884,-7.543926607173969,0.14572093733203723,0.025565541575044204,12,12,8,2,37,47,7,3
9 good is up,0.21156657424027872,0.24311055650868746,0.27104561394725246,-5.531572887416183,-8.154718074492884,0.08469510356449661,0.033995152536073256,13,10,4,4,38,48,9,2
8 money is liquid,0.18451373315909592,0.23247005522165598,0.26184565751641486,-8.97600175397213,-12.480278426762824,0.017163218954505524,0.015037738731429093,13,10,3,2,46,50,2,2
10 bad is down,0.21259411945156637,0.23468352721866687,0.26546656366631954,-4.72917852823652,-7.712938423037215,0.04557330395085129,0.025862431865908378,16,12,4,2,40,48,4,2
2 active is life,0.260317023463932,0.27247645304460616,0.2982403655571644,-1.4618466001306214,-3.442813032035533,0.04750770000328043,0.04365554724014255,20,14,2,8,34,40,8,2
5 success is life,0.23474526859877412,0.238686448293838,0.2697878107058401,-0.9402808408374407,-3.5596370432946656,0.09610621942197178,0.020650305353640458,19,16,12,0,29,45,4,3
6 perceiving is eating,0.20636661957088484,0.2382982318291253,0.2671340132007981,-7.363549690061193,-10.405955309897745,0.05756894194363664,0.05963114053507582,18,14,3,4,39,44,4,2
1 importance is size,0.23763538607985224,0.23276388532153924,0.2623030494959497,-0.7904909738393341,-3.294410087941718,0.11937380052907862,0.024791637698640845,17,14,12,1,28,45,7,4
