metaphor-id,metaphor-name,pos,mean_similarity,baseline_performance,test_statistic,p_value
1,importance is size,all,0.2692130037541252,0.29155197761349877,-6.82696931898273,1.8292695787839244e-11
2,active is life,all,0.30338788330963773,0.3133552143097291,-2.6361902312348136,0.008562905546078118
3,life is journey,all,0.2840131797990027,0.34449027445458585,-14.829854990137573,1.1381221850367764e-43
4,failure is death,all,0.3112068408882994,0.30079761191160104,2.8106437990543793,0.0050770822685150775
5,success is life,all,0.25959821415372675,0.29887677391206613,-11.35330792477097,1.2836964554805911e-27
6,perceiving is eating,all,0.2929835938867718,0.31572650944581576,-6.08065718822595,1.9316805774573653e-09
7,affection is warmth,all,0.22802547327612,0.32618914742528654,-25.21935272114883,2.3839019020818823e-101
8,money is liquid,all,0.2181779336700387,0.2889216451680055,-22.0558750725082,5.869852523789436e-83
9,good is up,all,0.2476467070756135,0.30549663607434807,-15.256929431865561,8.28771317670653e-46
10,bad is down,all,0.24085941882126943,0.308487850586655,-19.690434204484184,1.6062845278493152e-69
1,importance is size,ADJ,0.24200014420497565,0.20035934446402537,3.045161913556958,0.003147995783361372
2,active is life,ADJ,0.3121823050357677,0.22546427891946133,5.6882894602611875,2.0265457912005185e-07
3,life is journey,ADJ,0.24485059211283555,0.26556807793584875,-1.1878106807731204,0.23842263295537902
4,failure is death,ADJ,0.24771827164991403,0.20741362350958364,3.245975981170513,0.001710397447603336
5,success is life,ADJ,0.25840209626857147,0.252516954291014,0.4114058423291843,0.6818750563522762
6,perceiving is eating,ADJ,0.27835958460230886,0.18444623983200686,6.865525668002053,1.2848592162230061e-09
7,affection is warmth,ADJ,0.23045052054487628,0.20763847034654503,1.9090293029124252,0.0598441101534554
8,money is liquid,ADJ,0.12020303805669148,0.2016631609863705,-8.994666228831816,8.998460550561883e-14
9,good is up,ADJ,0.1742020492200498,0.22091849409135772,-4.577115871025598,1.704214445647982e-05
10,bad is down,ADJ,0.1458699666423562,0.22028647230731116,-7.389429282866019,1.2555424780244747e-10
1,importance is size,VERB,0.15463965616108458,0.18840906214566883,-3.115799259607923,0.002547296518814854
2,active is life,VERB,0.1510693762037489,0.252511560767889,-8.956100185651566,1.0714173442927048e-13
3,life is journey,VERB,0.16782404684726102,0.1925819840070642,-2.206980601077365,0.030181407909786764
4,failure is death,VERB,0.17917978837166304,0.19136488647740563,-1.010209112857976,0.315440836336439
5,success is life,VERB,0.16718605271092168,0.17268441412551902,-0.4801211432497485,0.6324514555463912
6,perceiving is eating,VERB,0.12302562925550672,0.21999082300398082,-12.263442530766342,4.6109137933412e-20
7,affection is warmth,VERB,0.13850500333456345,0.2255886470977171,-10.662073223925965,5.0270348009181156e-17
8,money is liquid,VERB,0.17275337083840075,0.166963539896188,0.7296708497759363,0.46772254319408724
9,good is up,VERB,0.18531436463932932,0.17758213775025475,0.5919310819331792,0.5555659316000965
10,bad is down,VERB,0.21198756606490524,0.20352692952862492,0.7102999269869282,0.47958367422941806
1,importance is size,NOUN,0.183220656565678,0.1820195105119988,0.11308708252058902,0.9102448177465396
2,active is life,NOUN,0.16068173043521833,0.21715672984535306,-5.149140030093004,1.8350324831702187e-06
3,life is journey,NOUN,0.2124275756470951,0.20515835798816917,0.6418125926181053,0.5228296600576685
4,failure is death,NOUN,0.23205994235144722,0.22168780546865346,0.6989575452538641,0.4866056892138807
5,success is life,NOUN,0.1424512708628619,0.18939832681123114,-4.355239388640699,3.9039638447951946e-05
6,perceiving is eating,NOUN,0.22422785302739084,0.22033005653708065,0.3428019339539399,0.7326465819807131
7,affection is warmth,NOUN,0.21412918081989996,0.21426175143983633,-0.00902305248815145,0.9928232066111101
8,money is liquid,NOUN,0.13016654091116822,0.1993275128323355,-7.407462264945051,1.1583366423305715e-10
9,good is up,NOUN,0.23679820622926878,0.24687599258290396,-0.7823777849657038,0.4363022804683545
10,bad is down,NOUN,0.15969624710671695,0.1696954972177376,-0.9846788717867486,0.3277505501788146
